Column1;Column2
Username;Tweet
Orhan SARIKAYA;"#BAYKAR’?n milli ve özgün olarak geli?tirdi?i#Bayraktar#TB3#S?HA, test uçu?lar?nda toplam 272 saat 47 dakika havada kald?
Bayraktar ailesi gerçekten alk??? hak ediyorAncak bu kadar uzun uçu? menzilli Sihalar için UÇAK GEM?S?NE NE GEREK VARDI? Diye soral?m m?? Sormayal?m m??"
Ankara Masas?;#Baykar'?n milli ve özgün olarak geli?tirdi?i#BayraktarTB3#S?HA, test uçu?lar?nda toplam 272 saat 47 dakikaya ula?t?...
Defence Türkiye;"Bayraktar TB3 PT-1, 29. test uçu?unu tamamlarken, Bayraktar TB3 PT-2 de 5. ve 6. test uçu?lar?n? ba?ar?yla gerçekle?tirdi.

Hafta boyunca devam eden testlerde, her iki prototipin de uçu?lar?yla#Bayraktar#TB3'ün toplam uçu? saati 272 saat 47 dakikaya ula?t?."
Nöbetçi Gazete;Bayraktar TB3 S?HA test uçu?lar?na devam ediyorhttps://nobetcigazete.com/bayraktar-tb3-siha-test-ucuslarina-devam-ediyor/102017/…#Bayraktar#haberler#gündem
ÜLKE TV;"#Bayraktartüm testleri altüst etti!
TCG#Anadolu'ya konmas?na ramak ald?.#haber"
Ekrem Don impapadapulo;"Selçuk Bayraktar: ""Biz S?HA'ar? ilk geli?tirdi?imizde cevap teröristten de?il, CHP'den geldi.""#sondakika#iha#siha#selçukbayraktar#bayraktar#chp#chpzihniye#donlasti?i#fatiherbakan#receptayyiperdo?an#devletbahçeli#mhp#bbp#Türkiye"
ÜLKE TV;"#Elektrikve#do?algazazam gelecek mi?
Bakan#Bayraktaraç?klad?!#haber"
Fatih Erdo?an;KIZILELMA#Bayraktar
Sinan ?nci;Vatanda? vergi veriyor,vergi mükellefi olmasa dahi mazot ile yine ödüyor esas vergi mükellefi olup vermeyen büyük firmalar nerede?Dün kurulan#bayraktarsahibi@Selcukile@Halukbirinci olurken neden#Koc#Sabanc?geride, DEVLER? DENETLEY?N?Z!@RTErdogan@HakanFidan@MemetSimsek
